Height_cm,Weight_kg,BMI,BMI_Category,Body_Shape,Hip_Circumference_cm,Shoulder_Width_cm,Clothing_Size,Style_Preference,Recommended_Cloth_Color
154.05,63.27,26.66,Overweight,Oval,104.72,44.98,M,Soft & Gentle,Peach
189.96,93.21,25.83,Overweight,Inverted Triangle,102.6,47.72,XXL,Calm & Classic,Olive Green
160.7,91.44,35.41,Obese,Spoon,120.99,41.65,XXL,Soft & Gentle,Grey
183.12,94.6,28.21,Overweight,Spoon,121.05,41.79,XXL,Calm & Classic,Purple
179.61,56.87,17.63,Underweight,Spoon,102.62,47.47,M,Adventurous & Natural,Mustard Yellow
158.82,43.08,17.08,Underweight,Inverted Triangle,80.36,45.81,XS,Adventurous & Natural,Electric Blue
160.18,71.58,27.9,Overweight,Oval,114.7,39.23,M,Adventurous & Natural,Fuchsia
176.4,116.19,37.34,Obese,Inverted Triangle,101.02,49.19,XXL,Soft & Gentle,White
189.22,113.18,31.61,Obese,Oval,121.53,48.81,XXL,Calm & Classic,Terracotta
169.66,79.96,27.78,Overweight,Rectangle,99.84,41.63,L,Calm & Classic,Rust
153.73,94.25,39.88,Obese,Rectangle,110.43,46.44,XXL,Calm & Classic,Green
158.91,99.92,39.57,Obese,Hourglass,104.07,45.12,XL,Soft & Gentle,Light Blue
163.18,41.22,15.48,Underweight,Diamond,85.63,38.47,XS,Soft & Gentle,Cream
165.05,42.55,15.62,Underweight,Spoon,98.76,46.76,S,Adventurous & Natural,Mustard Yellow
186.0,93.65,27.07,Overweight,Rectangle,109.53,47.93,XXL,Soft & Gentle,Brown
176.41,122.71,39.43,Obese,Athletic,106.89,46.06,XXL,Adventurous & Natural,Gold
187.81,60.21,17.07,Underweight,Inverted Triangle,92.4,47.73,XL,Bold & Expressive,Red
155.56,66.6,27.52,Overweight,Rectangle,84.52,45.12,M,Adventurous & Natural,Rust
164.26,77.63,28.77,Overweight,Inverted Triangle,86.61,45.55,XL,Adventurous & Natural,Lime Green
169.6,92.13,32.03,Obese,Apple,101.88,40.96,XXL,Adventurous & Natural,Khaki
152.76,74.51,31.93,Obese,Athletic,93.42,48.04,XL,Adventurous & Natural,Red
174.35,79.31,26.09,Overweight,Athletic,92.45,47.17,XL,Calm & Classic,White
156.3,69.36,28.39,Overweight,Inverted Triangle,80.72,43.62,M,Adventurous & Natural,Magenta
177.33,81.29,25.85,Overweight,Pear,103.94,44.55,XL,Adventurous & Natural,Orange
155.17,93.49,38.83,Obese,Diamond,109.45,38.08,L,Adventurous & Natural,Magenta
184.86,89.23,26.11,Overweight,Spoon,98.05,39.66,XL,Bold & Expressive,Lime Green
155.3,67.68,28.06,Overweight,Oval,103.53,42.8,M,Soft & Gentle,White
162.97,96.91,36.49,Obese,Diamond,115.1,43.18,XXL,Soft & Gentle,Grey
176.86,55.61,17.78,Underweight,Inverted Triangle,97.26,53.13,M,Bold & Expressive,Fuchsia
186.07,91.58,26.45,Overweight,Diamond,103.57,46.83,XXL,Calm & Classic,Green
161.9,73.0,27.85,Overweight,Athletic,96.06,49.8,XL,Adventurous & Natural,Rust
181.91,92.52,27.96,Overweight,Spoon,96.93,43.91,XXL,Soft & Gentle,Cream
155.21,63.57,26.39,Overweight,Rectangle,96.74,45.83,M,Calm & Classic,Rust
162.5,89.6,33.93,Obese,Rectangle,109.23,38.31,XL,Adventurous & Natural,Olive Green
170.0,46.33,16.03,Underweight,Pear,115.35,42.96,XS,Adventurous & Natural,Yellow
179.37,57.04,17.73,Underweight,Spoon,120.24,44.96,S,Adventurous & Natural,Olive Green
153.3,65.19,27.74,Overweight,Apple,94.88,37.36,M,Adventurous & Natural,Gold
155.13,61.15,25.41,Overweight,Pear,93.1,35.22,XS,Soft & Gentle,Cream
161.19,78.21,30.1,Obese,Diamond,104.78,43.74,XL,Bold & Expressive,Fuchsia
150.59,40.5,17.86,Underweight,Inverted Triangle,78.69,43.12,XS,Soft & Gentle,Lavender
177.15,88.15,28.09,Overweight,Pear,94.79,36.46,M,Calm & Classic,Blue
166.39,70.54,25.48,Overweight,Athletic,104.01,47.89,XL,Soft & Gentle,Cream
153.51,61.34,26.03,Overweight,Rectangle,102.93,46.56,L,Adventurous & Natural,Magenta
171.92,75.52,25.55,Overweight,Athletic,110.73,48.78,XL,Soft & Gentle,Beige
154.88,63.33,26.4,Overweight,Oval,101.25,44.81,M,Calm & Classic,Olive Green
175.14,111.44,36.33,Obese,Rectangle,105.28,46.82,XXL,Soft & Gentle,Lavender
153.73,80.38,34.01,Obese,Inverted Triangle,102.1,44.57,XL,Calm & Classic,Green
160.57,64.64,25.07,Overweight,Spoon,92.46,46.13,XL,Calm & Classic,Mustard Yellow
168.71,95.29,33.48,Obese,Inverted Triangle,94.18,48.97,XXL,Soft & Gentle,Grey
182.24,59.18,17.82,Underweight,Spoon,110.49,46.67,L,Adventurous & Natural,Bright Orange
183.71,87.82,26.02,Overweight,Spoon,114.92,43.28,XXL,Soft & Gentle,Beige
154.45,40.39,16.93,Underweight,Diamond,88.89,45.94,XS,Calm & Classic,Terracotta
159.0,66.82,26.43,Overweight,Pear,100.5,39.12,XS,Bold & Expressive,Lime Green
164.62,74.04,27.32,Overweight,Hourglass,106.31,44.71,L,Calm & Classic,Forest Green
165.1,46.2,16.95,Underweight,Spoon,103.65,45.75,XS,Bold & Expressive,Maroon
155.72,61.88,25.52,Overweight,Hourglass,112.64,38.81,S,Soft & Gentle,Cream
174.85,87.96,28.77,Overweight,Rectangle,98.12,42.02,XL,Bold & Expressive,Red
156.41,94.8,38.75,Obese,Diamond,100.65,44.14,XL,Bold & Expressive,Orange
164.26,95.3,35.32,Obese,Rectangle,106.72,40.63,XXL,Calm & Classic,Olive Green
185.79,62.06,17.98,Underweight,Spoon,107.59,47.15,L,Bold & Expressive,Red
150.07,80.15,35.59,Obese,Diamond,87.82,43.81,XL,Calm & Classic,Terracotta
185.1,97.1,28.34,Overweight,Hourglass,120.86,43.5,XXL,Adventurous & Natural,Mustard Yellow
186.23,131.93,38.04,Obese,Hourglass,108.13,47.71,XXL,Bold & Expressive,Yellow
171.99,115.57,39.07,Obese,Hourglass,126.72,43.4,XXL,Calm & Classic,Blue
167.7,107.46,38.21,Obese,Rectangle,113.3,46.68,XXL,Bold & Expressive,Orange
188.39,55.37,15.6,Underweight,Hourglass,108.58,41.31,M,Calm & Classic,Black
